"Automation 
Status",TestCase Name in Qengine,Testcase ID,DRI,Functionality,Type,OS,Testcases,Steps to achieve,Remarks,Utils with name,Efforts and Days needed,Flow Digram
,Agent_MSI_NEG_MissingMSI,AI_MSI_NEG_02,,Agent Installation - MSI,Negative,Windows,ZIP without MSI,"1. Unzip ZIP without MSI.
2. Try to install.",Installation should not start,File Explorer,0.5 Day,
,Agent_MSI_NEG_NoAdmin,AI_MSI_NEG_03,,Agent Installation - MSI,Negative,Windows,Install MSI without admin rights,"1. Login as standard user.
2. Launch MSI.",Permission error expected,MSI Installer,0.5 Day,
,Agent_MSI_NEG_InterruptInstall,AI_MSI_NEG_04,,Agent Installation - MSI,Negative,Windows,Interrupt MSI installation,"1. Start MSI install.
2. Cancel mid-way.",Installation should rollback,MSI Installer,0.5 Day,
,Agent_MSI_OS_Win10,AI_MSI_OS_01,,Agent Installation - MSI,OS Validation,Windows 7,Install MSI on Windows 7,"1. Perform MSI install on Win10.
2. Validate agent works.",Should succeed,MSI Installer,1 Day,
,Agent_MSI_OS_Win11,AI_MSI_OS_02,,Agent Installation - MSI,OS Validation,Windows 10/11,Install MSI on Windows 11,"1. Perform MSI install on Win11.
2. Validate agent works.",Should succeed,MSI Installer,1 Day,
,Agent_MSI_OS_WinServer,AI_MSI_OS_03,,Agent Installation - MSI,OS Validation,Windows Server,Install MSI on Windows Server,"1. Perform MSI install on Windows Server.
2. Validate agent works.",Should succeed,MSI Installer,1 Day,
,Agent_Silent_PreCleanup,AI_SIL_01,,Agent Installation - Silent,Functional,Windows,Pre-cleanup before silent install,"1. Check if agent is installed.
2. Uninstall agent if present.
3. Verify removal from Control Panel, Services, Task Manager, Registry.",Clean machine,"Control Panel, Services, Registry",1 Day,
,Agent_Silent_Install,AI_SIL_02,,Agent Installation - Silent,Functional,Windows,Silent installation of agent,"1. Run installer with /silent argument.
2. Wait for installation to complete.
3. Verify no UI is displayed.",No user interaction,CMD,0.5 Day,
,Agent_Silent_PostValidation,AI_SIL_03,,Agent Installation - Silent,Functional,Windows,Post silent install validation,"1. Verify agent is listed in SOM with success remark.
2. Verify agent service is running.
3. Verify agent entry exists in Control Panel.
4. Verify agent process is running.",Agent healthy,"SOM, Services",1 Day,
,Agent_Silent_NEG_NoAdmin,AI_SIL_NEG_01,,Agent Installation - Silent,Negative,Windows,Silent install without admin,"1. Login as standard user.
2. Run silent install.",Permission error expected,CMD,0.5 Day,
,Agent_Silent_NEG_WrongArg,AI_SIL_NEG_02,,Agent Installation - Silent,Negative,Windows,Silent install with wrong argument,"1. Run installer with invalid argument.
2. Observe behavior.",Install should fail or show error,CMD,0.5 Day,
,Agent_Silent_NEG_CorruptExe,AI_SIL_NEG_03,,Agent Installation - Silent,Negative,Windows,Silent install with corrupt exe,"1. Use corrupt installer.
2. Run silent install.",Installation should fail,CMD,0.5 Day,
,Agent_Silent_OS_Win10,AI_SIL_OS_01,,Agent Installation - Silent,OS Validation,Windows 7,Install MSI on Windows 7,"1. Run silent install on Win7.
2. Validate agent works.",Should succeed,CMD,1 Day,
,Agent_Silent_OS_Win11,AI_SIL_OS_02,,Agent Installation - Silent,OS Validation,Windows 10/11,Install MSI on Windows 11,"1. Run silent install on Win11.
2. Validate agent works.",Should succeed,CMD,1 Day,
,Agent_Silent_OS_WinServer,AI_SIL_OS_03,,Agent Installation - Silent,OS Validation,Windows Server,Silent install on Windows Server,"1. Run silent install on Windows Server.
2. Validate agent works.",Should succeed,CMD,1 Day,
