TEST CASE ID,Module,Type,TEST CASE DESCRIPTION,Steps,EXPECTED RESULT,Remark,Actusl result -OP,Actual result -Cloud
TC_023,Agent Fw,Proxy,Proxy Communication After Fresh Install on New Build,"1. Configure proxy settings in Web Console for the target Mac
2. Fresh install new SSMK build agent on the Mac
3. Verify Mac appears in Web Console as managed
4. From Web Console trigger a config push to the Mac
5. Check that the operation succeeds",Agent communicates through proxy. Config push succeeds. There should be no ""Failed to read proxy credential from vault"" in dcondemand logs (check: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i proxy""),"CCA enable & CCA disabled
TC",,
TC_024,Agent Fw,Credential,Credential Decryption After Upgrade - Old Credentials Fallback,"1. On old build Mac agent configure credentials for a software deployment via Web Console
2. Run the deployment to verify credentials work on old build
3. Upgrade Mac agent to new SSMK build
4. Without re-configuring credentials trigger the same deployment again from Web Console
5. Check if deployment succeeds on the Mac","Deployment should succeed using the old stored credentials. In Mac logs (""cat /Library/ManageEngine/UEMS_Agent/logs/dcconfig.log | grep -i credential"") you should see ""FRAMEWORK decryption failed, attempting master key fallback"" (this is expected for old credentials) followed by successful credential retrieval. There should be NO ""Failed to decrypt password with FRAMEWORK or master key"" which would indicate total failure","CCA enable & CCA disabled
TC",,
TC_025,Agent Fw,Credential,Credential Decryption on New Build - FRAMEWORK Key,"1. On Mac agent running the new SSMK build go to Web Console and configure a new credential for deployment
2. Trigger a software deployment using this new credential
3. Verify deployment succeeds on the Mac
4. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcconfig.log | grep -i credential""",Deployment succeeds. without any ""FRAMEWORK decryption failed"" or ""Failed to decrypt password"" errors since the credential was created with the new FRAMEWORK key,"CCA enable & CCA disabled
TC",,
TC_026,Agent Fw,KeyShare,Key Rotation - Server Rotates Service Module Key,"1. Have a working Mac agent on new build
2. From the server side trigger a key rotation for a service module (this is a server admin action)
3. Wait for the Mac agent to perform its next sync cycle (or force a refresh: ""sudo /Library/ManageEngine/UEMS_Agent/bin/dcconfig refresh"")
4. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i KeyShare""",Logs should show the agent detected a new UUID and initiated a key share request. Should see ""KeyShare: Initiating key share request for X key(s)"" and ""KeyShare: Received response of X byte(s)"". After key rotation any operation that uses the rotated module key should still work,"CCA enable & CCA disabled
TC",,
TC_027,Agent Fw,KeyShare,Key Rotation at Adaption Stage,"1. Have a working Mac agent on new build
2. Server triggers key rotation with the adaption flag (key at adaption stage meaning UUID-only rotation)
3. Wait for agent sync
4. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i 'transition\|adaption'""","Logs should show ""KeyShare: Module <moduleName> is in transition, retaining existing key under new UUID"". This means the agent kept the existing key under the new UUID without fetching a new key from the servlet. No ""KeyShare: Incomplete key information"" errors should appear","CCA enable & CCA disabled
TC",,
TC_028,Agent Fw,KeyShare,Agent Skips Non-Local Module UUIDs,"1. Have a Mac agent on new build where only certain modules are active
2. Ensure the server has UUIDs for modules not installed on this Mac (other than SOM / FRAMEWORK)
3. Trigger agent sync
4. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i 'not mapped'""","Logs should show ""KeyShare: UUID <uuid> is not mapped to a local module, skipping"" for UUIDs that do not correspond to modules active on this Mac. The agent should NOT make servlet calls for these skipped UUIDs","CCA enable & CCA disabled
TC",,
TC_029,Agent Fw,KeyShare,UUID Timestamp Not Committed on Key Fetch Failure,"1. Install Mac agent on new build
2. Before the agent can reach the keyshareServlet block network access to the server (e.g. disconnect WiFi or block the port)
3. Wait for the agent to attempt key download
4. Restore network access
5. Wait for next sync cycle
6. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i KeyShare""","During the blocked period logs should show ""Error fetching Key share response"" or similar error. After network is restored the agent should retry and eventually show ""KeyShare: Received response of X byte(s)"". The key point is the agent retried - if timestamps were committed prematurely it would have skipped the UUIDs showing ""UUID <uuid> is up to date, skipping"" which should NOT appear before the keys are successfully stored","CCA enable & CCA disabled
TC",,
TC_030,Agent Fw,KeyShare,Service Key Validation After Upgrade,"1. Upgrade Mac agent from pre-SSMK build to new build
2. Wait for post-upgrade sync
3. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcconfig.log | grep -i 'service-master-keys\|KeyShare\|validateServiceKeys'""",After upgrade the agent should validate service keys. If keys are missing or invalid the agent re-downloads them. Logs should eventually show successful key storage with no persistent ""KeyShare: Failed to persist shared keys"" errors,"CCA enable & CCA disabled
TC",,
TC_031,Agent Fw,CSR,CSR Encryption with Approval Key,"1. Trigger a client certificate request on the Mac agent (this happens during initial install)
2. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcagentservice.log | grep -i CSR""",Logs should show ""Proceeding to request CSR..."" followed by ""Encrypting CSR requesting"" then ""Request encrypted"". There should be NO ""Error in encryption"" (critical) or ""Error in CSR generation"" (critical). After the server responds logs should show ""Proceeding to decrypt response"" and ""Certificate import successful"","CCA enable & CCA disabled
TC",,
TC_032,Agent Fw,Security,Binary Checksum ECDSA Verification on Mac,"1. Upgrade Mac agent to new build
2. Wait for upgrade to complete
3. Check upgrader logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/macAgentUpgrader.log | grep -i checksum""",Logs should show ""Agent Checksum validation succeeded"". There should be NO ""Agent Checksum validation failed"" or ""ECDSA signature verification failed for binaries-checksumV2.json"" or ""Error parsing binaries-checksumV2.json structure"" errors,"CCA enable & CCA disabled
TC",,
TC_033,Agent Fw,Security,Tampered Binary Checksum Rejected,"1. Before upgrading the Mac agent manually tamper with the binaries-checksumV2.json file on the server or intercept and modify it
2. Trigger agent upgrade
3. Check upgrader logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/macAgentUpgrader.log | grep -i checksum""",Upgrade should FAIL. Logs should show ""ECDSA signature verification failed for binaries-checksumV2.json"" or ""Agent Checksum validation failed"". The agent should NOT proceed with installing tampered binaries,"CCA enable & CCA disabled
TC",,
TC_034,Agent Fw,Security,Upgrader Copies Public Key Before Checksum Verification,"1. Trigger Mac agent upgrade from Web Console
2. Check upgrader logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/macAgentUpgrader.log | grep -i 'public key\|Public key'""",Logs should show either ""Public key already present in serverinfo handler"" or ""Public key copied from downloaded serverinfo plist to serverinfo handler"". This must appear BEFORE any checksum validation log entries. There should be NO ""Public key not found in downloaded serverinfo plist either"" error,"CCA enable & CCA disabled
TC",,
TC_035,Agent Fw,Movement,RO Movement Uses V2 Server Info XML,"1. In Web Console move a Mac agent to a different Remote Office
2. Wait for agent to process the RO change
3. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcconfig.log | grep -i 'ProcessRemoteOfficeXML\|Remote office'""
4. Verify agent communicates with the new DS",Logs should show ""ProcessRemoteOfficeXML"" entries processing the V2 XML. Should show ""Remote office ID has to be changed"" followed by ""Remote Office ID has been updated"". Agent should then communicate with the new DS (verify Mac shows Online in Web Console under new RO),"CCA enable & CCA disabled
TC",,
TC_036,Agent Fw,Movement,RO Movement Token Storage,"1. In Web Console move Mac agent to a different Remote Office
2. Wait for agent to complete the RO transition
3. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcconfig.log | grep -i 'ApprovalKey\|force'""
4. Verify agent authenticates with the new DS",During RO movement logs should show ""ApprovalKey force-updated in vault"" (or similar force-store messages). There should be NO ""ApprovalKey decryption failed"" (critical) errors. After the move agent should authenticate with the new DS successfully (Web Console shows Mac Online under new RO),"CCA enable & CCA disabled
TC",,
TC_037,Agent Fw,Auth,Migration Skips Already-Migrated Tokens,"1. Upgrade Mac agent to new SSMK build and let migration complete
2. Restart the agent service: ""sudo launchctl stop com.manageengine.dcagentservice && sudo launchctl start com.manageengine.dcagentservice""
3. Check logs if migration gets skipped.",After restart the migration check should show ""Token migration: vault already populated - skipping"" indicating it detected tokens are already in the vault and did not attempt to re-migrate them,"CCA enable & CCA disabled
TC",,
TC_038,Agent Fw,Upgrade,Full Upgrade Preserves All Auth State,"1. Have a Mac agent on old pre-SSMK build that is fully enrolled communicating with DS and has proxy configured
2. Upgrade to new SSMK build
3. After upgrade wait for agent to sync
4. In Web Console verify Mac is Online
5. Trigger an on-demand scan from Web Console
6. Trigger a software deployment that uses credentials",After upgrade: Mac remains Online in Web Console without re-enrollment. On-demand scan executes successfully. Software deployment using stored credentials succeeds. Proxy communication continues working. Check logs for ""Agent Upgrade occured. Proceeding to check and handle post update actions"" and ""Migrating to vault"" and ""Token migration"" entries confirming migration ran,"CCA enable & CCA disabled
TC",,
TC_039,Agent Fw,OnDemand,dcondemand WebSocket Connection,"1. Install or upgrade Mac agent to new build - Cloud
2. On the Mac verify dcondemand is running: ""ps aux | grep dcondemand""
3. Ensure ondemand connectivity",dcondemand process should be running. Logs should show ""Starting WebSocket connection to <host>:<port>"" followed by ""DMS authentication successful - UID: <partial_uid>***"" and ""Auth success - starting background tasks"". There should be NO ""Failed to load configuration"" or ""Failed to generate auth token"" errors,"CCA enable & CCA disabled
TC",,
TC_040,Agent Fw,OnDemand,dcondemand Reconnects After Network Drop,"1. Have Mac agent running with dcondemand connected
2. Temporarily disconnect the Mac from the network (turn off WiFi or unplug Ethernet)
3. Wait 30 seconds then reconnect the network
4. Ensure ondemand connectivity",After network restore logs should show the agent retrying connections: ""Trying DC <host> with proxy mode: <mode>..."" and eventually ""DMS authentication successful"". The on-demand scan triggered from Web Console should execute on the Mac,"CCA enable & CCA disabled
TC",,
TC_041,Agent Fw,OnDemand,dcondemand Failover to Secondary DC,"1. Have Mac agent connected to primary DC via dcondemand
2. Make the primary DC unreachable (e.g. block its IP on the Mac firewall or shut down primary DC)
3. Wait for dcondemand to detect the failure and failover
4. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'failed\|Trying\|next DC\|proxy mode'""","Logs should show connection failure to primary DC followed by ""All proxy modes failed for <primary_host>, trying next DC"" and then ""Trying DC <secondary_host> with proxy mode: <mode>..."" eventually followed by ""DMS authentication successful"" on the secondary DC","CCA enable & CCA disabled
TC",,
TC_042,Agent Fw,OnDemand,dcondemand TCP Server,"1. Install Mac Agent in OP setup
2. Ensure ondemand connectivity","Logs should show ""TCPEndpoint: server address = <hostname>, port = <port>, TLS = <true/false>"" and ""Connection started."" for TCP path. If a notification is sent logs should show ""Received new message"" and ""Acknowledgement Received.""","CCA enable & CCA disabled
TC",,
TC_043,Agent Fw,OnDemand,dcondemand Proxy Fallback Chain,"1. Configure a server-level proxy for the Mac agent in Web Console
2. Start Mac agent and verify dcondemand connects through server proxy
3. Remove the server proxy setting and restart the agent
4. Verify dcondemand falls back to system proxy (if configured) or direct connection
5. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'proxy mode'""",Logs should show the proxy mode being used. When server proxy is configured: ""Trying DC <host> with proxy mode: serverProxy"". When server proxy is removed: agent should fall back to ""systemProxy"" or ""noProxy"". There should be NO ""Server proxy enabled but port invalid"" errors if proxy was configured correctly,"CCA enable & CCA disabled
TC",,
TC_044,Agent Fw,OnDemand,On-Demand Inventory Scan on Mac,"1. Have Mac agent running with dcondemand connected
2. From Web Console go to the Mac computer entry
3. Click Scan Now or trigger Inventory Collection
4. Wait for collection to complete
5. Check dcondemand logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'collection\|dcconfig'""",On the Mac side logs should show ""Inside InitiateCollectionTask Method"" followed by ""dcconfig returned: 0"" (return code 0 means success). In Web Console the inventory data for the Mac should be updated with fresh information,"CCA enable & CCA disabled
TC",,
TC_045,Agent Fw,OnDemand,On-Demand Patch Scan on Mac,"1. Have Mac agent running
2. From Web Console trigger a patch scan on the Mac
3. Wait for scan to complete
4. Check dcondemand logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'PatchScan\|patch'""","Logs should show ""Inside InitiatePatchScan"" with task ID and ""End InitiatePatchScan, retCode: 0"". In Web Console the patch status for the Mac should update","CCA enable & CCA disabled
TC",,
TC_046,Agent Fw,OnDemand,On-Demand Shutdown on Mac,"1. Have Mac agent running
2. From Web Console trigger a remote shutdown on the Mac
3. Observe Mac behavior
4. Before shutdown check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'shutdown\|power'""",Logs should show ""Inside InitiateShutdownTask Method"" and ""Shutdown/Restart task called"" with the action details. The Mac should shut down (or restart depending on the action chosen). There should be NO ""RemoteShutdownTaskDetails is empty"" or ""Missing or invalid operation"" errors,"CCA enable & CCA disabled
TC",,
TC_047,Agent Fw,OnDemand,On-Demand Remote Desktop Session on Mac,"1. Have Mac agent running
2. From Web Console initiate a Remote Desktop session to the Mac
3. Wait for RDS to initialize
4. Check dcondemand logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'RDS\|remote'""",Logs should show ""Request for RDS services initiated..."" and eventually ""-----Native RDS started-----"". The remote desktop window should open. If the user prompt is configured logs may show prompt-related entries. There should be NO ""Failed to initialize RDSUtil"" errors,"CCA enable & CCA disabled
TC",,
TC_048,Agent Fw,OnDemand,On-Demand Remote Office Move via On-Demand,"1. From Web Console trigger a Move to Remote Office action for the Mac
2. Wait for agent to process
3. Check dcondemand logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'MoveToRemoteOffice\|Remote Office'""",Logs should show ""Inside MoveToRemoteOffice method"" and ""Current Remote Office: <old_id>"" and ""Target Remote Office: <new_id>"" followed by ""Executed dcconfig with return code: 0"" and ""Changed RemoteOfficeName: <new_name>"". There should be NO ""Required parameters to change are null or zero"" errors,"CCA enable & CCA disabled
TC",,
TC_049,Agent Fw,OnDemand,dcondemand Works Without ondemandHelper,"1. On Mac agent with new build check if ondemandHelper binary exists: ""ls /Library/ManageEngine/UEMS_Agent/bin/ondemandHelper"" (it should NOT exist)
2. Verify dcondemand is running: ""ps aux | grep dcondemand""
3. Trigger any on-demand action from Web Console (scan or collection or shutdown)
4. Verify the action completes",ondemandHelper binary should NOT exist on the new build. dcondemand should be running on its own. The triggered action should complete successfully proving dcondemand works independently,"CCA enable & CCA disabled
TC",,
TC_050,Agent Fw,OnDemand,dcondemand TLS Certificate Validation,"1. Have Mac agent dcondemand connect to DMS server over TLS
2. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'trust\|TLS\|certificate'""",Logs should show ""Evaluating server trust"" followed by ""Trust evaluation success"". There should be NO ""Trust evaluation failed"" or ""Failed to get server trust object"" errors,"CCA enable & CCA disabled
TC",,
TC_051,Agent Fw,OnDemand,dcondemand Ping-Pong Keep-Alive,"1. Have Mac agent dcondemand connected and idle for several minutes
2. Check logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'ping\|pong'""",Logs should show periodic ""Ping #<number>"" entries followed by ""Pong received"" entries. There should be NO ""Ping timeout - no pong received after ping #<number>"" errors which would indicate connection issues,"CCA enable & CCA disabled
TC",,
TC_052,Agent Fw,OnDemand,On-Demand Agent Uninstall,"1. From Web Console trigger agent uninstall on Mac
2. Check dcondemand logs before uninstall happens: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'uninstall'""",Logs should show ""Invoke ondemand uninstall"". The agent uninstall should proceed. After completion the agent processes should no longer be running on the Mac,"CCA enable & CCA disabled
TC",,
TC_053,Agent Fw,OnDemand,On-Demand Log Upload,"1. From Web Console trigger a support log upload for the Mac agent
2. Wait for upload to complete
3. Check dcondemand logs: ""cat /Library/ManageEngine/UEMS_Agent/logs/dcondemand.log | grep -i 'SupportLogUpload\|log upload'""",Logs should show ""Inside processSupportLogUploadTask"" followed by ""File Write Completed"". There should be NO ""Could not get component ID"" or ""componentID is not applicable"" errors,"CCA enable & CCA disabled
TC",,
TC_054,Agent Fw,E2E,Full Lifecycle - Fresh Install to On-Demand,"1. Take a clean Mac
2. Fresh install new SSMK build agent
3. In Web Console verify Mac appears as managed
4. Wait 2-3 minutes for full sync (keys + tokens)
5. From Web Console trigger an on-demand inventory scan
6. Verify scan data appears in Web Console",Mac registers successfully. Service keys are downloaded (check logs for ""KeyShare: Received response""). Auth tokens are stored (check logs for ""Authtoken Response Success""). On-demand scan completes (check logs for ""dcconfig returned: 0""). Web Console shows updated inventory,"CCA enable & CCA disabled
TC",,
TC_055,Agent Fw,E2E,Full Lifecycle - Upgrade from Pre-SSMK Build,"1. Start with Mac agent on old pre-SSMK build fully enrolled with proxy and credentials configured
2. Upgrade to new SSMK build
3. Verify Mac stays Online in Web Console
4. Trigger on-demand scan - verify it works
5. Trigger software deployment using stored credentials - verify it works
6. Verify proxy communication still works","All operations succeed post-upgrade. Logs show token migration (""Token migration"" entries), proxy migration (""Proxy credential migrated to vault successfully""), service key download (""KeyShare: Received response""), and successful operations. No re-enrollment needed","CCA enable & CCA disabled
TC",,
TC_056,Agent Fw,E2E,Key Rotation End-to-End,"1. Have Mac agent on new build fully operational
2. From server side trigger a service key rotation
3. Wait for agent to sync (or force refresh)
4. From Web Console trigger a configuration push that requires module encryption
5. Verify the push succeeds",Agent picks up new key (logs show ""KeyShare: Initiating key share request"" and ""KeyShare: Received response""). The configuration push using the rotated key succeeds. No ""Failed to encrypt for <module>"" or ""Failed to decrypt for <module>"" errors in logs,"CCA enable & CCA disabled
TC",,
TC_057,Agent Fw,E2E,RO Movement End-to-End with SSMK,"1. Have Mac agent on new build communicating with DS1
2. In Web Console move the Mac to a Remote Office served by DS2
3. Wait for agent to process the move
4. Verify Mac appears Online under the new RO in DS2 console
5. Trigger an on-demand action from DS2
6. Verify the action executes",Agent processes RO move (logs show ""Remote Office ID has been updated""). Agent stores new tokens (logs show ""ApprovalKey force-updated in vault""). Agent communicates with DS2 and shows Online. On-demand action from DS2 executes successfully,"CCA enable & CCA disabled
TC",,
