Testcase ID,Functionality,Sub-Functionality,Title,Pre-requisites,Steps,Expected Output,Support Files,Platform,OS Version,Priority,Category,Remarks,Actual Output,Status - OP,Status - Cloud,Issue ID
TC-AGENTINSTALL-PUSHINSTALL-011,Agent Installation,PUSHINSTALL,Push install fails with low-privilege credentials,Target reachable. A non-admin (standard) user account available.,"1. Configure a low-privilege user credential for the target. [Qengine browser]
2. Trigger push install. [Qengine browser]
3. Observe failure.",Push fails (insufficient privilege / network name not available). Agent not installed.,UEMS console SoM remark,windows,Windows 11 (x64),P2,Security / Permission,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-PUSHINSTALL-012,Agent Installation,PUSHINSTALL,Push fails when File & Printer Sharing / network discovery disabled,Target machine with File & Printer Sharing disabled. Valid admin creds.,"1. On target, disable File and Printer Sharing / network discovery. [control panel - manual]
2. Trigger push install from server. [Qengine browser]
3. Observe error.","Push fails with ""network name not available"" (or equivalent). Agent not installed.",UEMS console SoM remark,windows,Windows 11 (x64),P2,Negative Cases,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-PUSHINSTALL-013,Agent Installation,PUSHINSTALL,Push install on unsupported OS (below Windows 7),Target running an OS below Windows 7.,"1. Trigger push install on the legacy OS target. [Qengine browser]
2. Observe result.",Installation does not succeed; server reports unsupported OS / failure.,UEMS console SoM remark,windows,Below Windows 7,P3,Negative Cases,Must fail.,,,,
TC-AGENTINSTALL-PUSHINSTALL-014,Agent Installation,PUSHINSTALL,Push install on unsupported Windows Server (below 2008 R2),Target running Windows Server below 2008 R2.,"1. Trigger push install. [Qengine browser]
2. Observe result.",Installation fails; unsupported server OS reported.,UEMS console SoM remark,windows,Windows Server < 2008 R2,P3,Negative Cases,Must fail.,,,,
TC-AGENTINSTALL-PUSHINSTALL-015,Agent Installation,PUSHINSTALL,Push fails when required ports blocked by firewall,Target reachable on network but admin/WMI ports blocked by firewall.,"1. Block the server-to-target ports / WMI on the target firewall. [manual]
2. Trigger push install. [Qengine browser]
3. Restore firewall after test.",Push fails to connect; appropriate connectivity error shown. Agent not installed.,UEMS console SoM remark; target firewall config,windows,Windows 11 (x64),P2,Failure / Error Handling,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-PUSHINSTALL-016,Agent Installation,PUSHINSTALL,Concurrent push to many machines,Multiple clean targets reachable. Admin creds configured.,"1. Add a batch of targets to SoM. [Qengine browser]
2. Trigger push install on all simultaneously. [Qengine browser]
3. Validate each target post-install. 1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]",All targets install successfully without resource contention; each reaches Active with service RUNNING.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P2,Concurrency / Race Conditions,CONCURRENCY SCENARIO,,,,
TC-AGENTINSTALL-PUSHINSTALL-017,Agent Installation,PUSHINSTALL,Push fails - DS has not yet replicated binaries (Access Denied),Remote Office via DS. DS freshly added; binary replication NOT yet complete.,"1. Add a remote office with DS and immediately add a target before replication finishes. [Qengine browser]
2. Trigger push install. [Qengine browser]
3. Observe SoM remark.
4. Wait for DS replication to complete, retry push, and confirm success.","Before replication: push fails with ""Access Denied"" remark. After replication completes: retry succeeds and agent installs.",DS replication logs; UEMS console SoM remark; C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log,windows,Windows 11 (x64),P1,Support Ticket Scenario,SUPPORT TICKET: DS-not-replicated-AccessDenied. Timing/race with DS replication.,,,,DS replication race
TC-AGENTINSTALL-PUSHINSTALL-018,Agent Installation,PUSHINSTALL,Push fails - All pipes are busy via UEMSRemoteInstaller,Remote Office / Local Office push using UEMSRemoteInstaller under load.,"1. Drive concurrent push operations through UEMSRemoteInstaller. [Qengine browser]
2. Observe the named-pipe error condition.
3. Verify fallback/retry behavior and final state.","Reproduce ""All pipes are busy"" from UEMSRemoteInstaller; confirm whether server falls back to WMI/remcom and final install state.",UEMS server push logs; C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\,windows,Windows 11 (x64),P1,Support Ticket Scenario,SUPPORT TICKET: UEMSRemoteInstaller all-pipes-busy.,,,,Pipes busy
TC-AGENTINSTALL-PUSHINSTALL-019,Agent Installation,PUSHINSTALL,Push install causes endpoint blackscreen on builds 2540.01-2540.07,Target on agent build in the 2540.01-2540.07 range.,"1. Trigger push install with a build in 2540.01-2540.07. [Qengine browser]
2. Observe the endpoint display after install.
3. Confirm whether the machine goes to blackscreen.","Reproduce the blackscreen on the affected build range; confirm fix on patched builds (no blackscreen, normal logon).",Endpoint display; Event Viewer; C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log,windows,Build 2540.01-2540.07,P1,Bug Scenario,BUG SCENARIO. Build-specific 2540.01-2540.07.,,,,Blackscreen
TC-AGENTINSTALL-PUSHINSTALL-020,Agent Installation,PUSHINSTALL,Pre-install cleanup before push (clean-state baseline),Target may have a stale/previous agent.,"1. Check whether a UEMS agent is already installed (Control Panel > Programs, service list, HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\). [file_folder_operation/registry_operation]
2. If present, uninstall it (server console Uninstall Agent, or silent: C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\DCAgent.exe /uninstall /s). [run_bat]
3. Verify the entry is removed from Control Panel / Apps. [native_gui_operation]
4. Verify service ""ManageEngine UEMS Agent Service"" is absent or stopped. [service_actions: status]
5. Verify no DCAgentService.exe process is running. [task_manager: verify_process]
6. Verify agent registry keys under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ are removed. [registry_operation: read_key]","Machine is in a clean state: no agent in Control Panel, service absent/stopped, no DCAgentService.exe process, agent registry keys removed.",Control Panel; Services; Task Manager; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\,windows,Windows 11 (x64),P1,Cleanup / Uninstall,Baseline cleanup reused by all install TCs.,,,,
TC-AGENTINSTALL-MANUALGUI-001,Agent Installation,MANUALGUI,Manual GUI wizard install - Local Office (x64) happy path,Clean target. <OfficeName>_Agent.exe downloaded from console and copied to target.,"1. Launch <OfficeName>_Agent.exe on the target. [run_bat]
2. Read the CAPTCHA text from the captcha label. [native_gui_operation automationId=3 ReadText]
3. Type the CAPTCHA into the input field. [native_gui_operation automationId=6 EnterText]
4. Click OK to validate CAPTCHA. [native_gui_operation automationId=7 Click]
5. Wait for ""Next >"" (timeout 10s). [native_gui_operation automationId=2018 Wait]
6. Click ""Next >"" (info screen). [native_gui_operation automationId=2018 Click]
7. Click ""Next >"" (starts installation). [native_gui_operation automationId=2018 Click]
8. Wait for completion text (timeout 30s). [native_gui_operation automationId=2023 Wait]
9. Read completion text; expected ""Installation Complete"". [native_gui_operation automationId=2023 ReadText]
10. Click Close. [native_gui_operation automationId=2075 Click]
11. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]
2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.","Wizard completes; completion text = ""Installation Complete"". Architecture recorded. Machine shows Active in console under the correct office. Service ""ManageEngine UEMS Agent Service"" RUNNING with Start=2. Registry keys populated with correct ServerName (Central Server IP for Local/Direct, DS IP for Remote-via-DS). Install directory and sub-folders present for the architecture. Process DCAgentService.exe running. DCAgentService.log confirms communication target.",C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P1,Success / Happy Path,"Local Office. Browser download steps owned by Qengine, not GOAT.",,,,
TC-AGENTINSTALL-MANUALGUI-002,Agent Installation,MANUALGUI,Manual GUI install - Remote Office via DS,Clean target in a Remote Office (via DS). <RemoteOfficeName>_Agent.exe downloaded and copied.,"1. Launch <OfficeName>_Agent.exe on the target. [run_bat]
2. Read the CAPTCHA text from the captcha label. [native_gui_operation automationId=3 ReadText]
3. Type the CAPTCHA into the input field. [native_gui_operation automationId=6 EnterText]
4. Click OK to validate CAPTCHA. [native_gui_operation automationId=7 Click]
5. Wait for ""Next >"" (timeout 10s). [native_gui_operation automationId=2018 Wait]
6. Click ""Next >"" (info screen). [native_gui_operation automationId=2018 Click]
7. Click ""Next >"" (starts installation). [native_gui_operation automationId=2018 Click]
8. Wait for completion text (timeout 30s). [native_gui_operation automationId=2023 Wait]
9. Read completion text; expected ""Installation Complete"". [native_gui_operation automationId=2023 ReadText]
10. Click Close. [native_gui_operation automationId=2075 Click]
11. 2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.",Wizard completes. Agent registers with DS (ServerName = DS IP). Listed under the Remote Office.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P2,Cross-Environment,Remote Office (via DS).,,,,
TC-AGENTINSTALL-MANUALGUI-003,Agent Installation,MANUALGUI,Manual GUI install - x86 path/registry verification,Clean 32-bit target. EXE copied.,"1. Launch <OfficeName>_Agent.exe on the target. [run_bat]
2. Read the CAPTCHA text from the captcha label. [native_gui_operation automationId=3 ReadText]
3. Type the CAPTCHA into the input field. [native_gui_operation automationId=6 EnterText]
4. Click OK to validate CAPTCHA. [native_gui_operation automationId=7 Click]
5. Wait for ""Next >"" (timeout 10s). [native_gui_operation automationId=2018 Wait]
6. Click ""Next >"" (info screen). [native_gui_operation automationId=2018 Click]
7. Click ""Next >"" (starts installation). [native_gui_operation automationId=2018 Click]
8. Wait for completion text (timeout 30s). [native_gui_operation automationId=2023 Wait]
9. Read completion text; expected ""Installation Complete"". [native_gui_operation automationId=2023 ReadText]
10. Click Close. [native_gui_operation automationId=2075 Click]
11. Verify install dir C:\Program Files\ManageEngine\UEMS_Agent\\ and registry hive HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\. [file_folder_operation/registry_operation]",Wizard completes; agent at C:\Program Files\ManageEngine\UEMS_Agent\\ with direct AdventNet registry hive.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 10 (x86),P2,Cross-Environment,,,,,
